I0712 15:30:50.297367       1 flags.go:57] FLAG: --add-dir-header="false"
I0712 15:30:50.297638       1 flags.go:57] FLAG: --address=":8942"
I0712 15:30:50.297648       1 flags.go:57] FLAG: --alsologtostderr="false"
I0712 15:30:50.297656       1 flags.go:57] FLAG: --ap-algorithm="rule"
I0712 15:30:50.297662       1 flags.go:57] FLAG: --ap-cpu-histogram-bucket-num="400"
I0712 15:30:50.297669       1 flags.go:57] FLAG: --ap-cpu-histogram-decay-half-life="5m0s"
I0712 15:30:50.297676       1 flags.go:57] FLAG: --ap-cpu-histogram-n="5"
I0712 15:30:50.297682       1 flags.go:57] FLAG: --ap-cpu-recommend-policy="sp_90"
I0712 15:30:50.297689       1 flags.go:57] FLAG: --ap-fluctuation-reducer-duration="10m0s"
I0712 15:30:50.297695       1 flags.go:57] FLAG: --ap-memory-histogram-bucket-num="500"
I0712 15:30:50.297702       1 flags.go:57] FLAG: --ap-memory-histogram-decay-half-life="5m0s"
I0712 15:30:50.297710       1 flags.go:57] FLAG: --ap-memory-histogram-n="5"
I0712 15:30:50.297716       1 flags.go:57] FLAG: --ap-memory-recommend-policy="max"
I0712 15:30:50.297722       1 flags.go:57] FLAG: --ap-ml-cpu-hyperparam-d="0.5"
I0712 15:30:50.297784       1 flags.go:57] FLAG: --ap-ml-cpu-hyperparam-wdeltal="0.5"
I0712 15:30:50.297792       1 flags.go:57] FLAG: --ap-ml-cpu-hyperparam-wdeltam="0.5"
I0712 15:30:50.297884       1 flags.go:57] FLAG: --ap-ml-cpu-hyperparam-wo="0.5"
I0712 15:30:50.297894       1 flags.go:57] FLAG: --ap-ml-cpu-hyperparam-wu="0.5"
I0712 15:30:50.297901       1 flags.go:57] FLAG: --ap-ml-cpu-num-dm="50"
I0712 15:30:50.297908       1 flags.go:57] FLAG: --ap-ml-cpu-num-mm="400"
I0712 15:30:50.297915       1 flags.go:57] FLAG: --ap-ml-cpu-size-buckets-mm="1"
I0712 15:30:50.297969       1 flags.go:57] FLAG: --ap-ml-gpum-hyperparam-d="0.5"
I0712 15:30:50.297982       1 flags.go:57] FLAG: --ap-ml-gpum-hyperparam-wdeltal="0.5"
I0712 15:30:50.298071       1 flags.go:57] FLAG: --ap-ml-gpum-hyperparam-wdeltam="0.5"
I0712 15:30:50.298086       1 flags.go:57] FLAG: --ap-ml-gpum-hyperparam-wo="0.5"
I0712 15:30:50.298093       1 flags.go:57] FLAG: --ap-ml-gpum-hyperparam-wu="0.5"
I0712 15:30:50.298100       1 flags.go:57] FLAG: --ap-ml-gpum-num-dm="100"
I0712 15:30:50.298107       1 flags.go:57] FLAG: --ap-ml-gpum-num-mm="4"
I0712 15:30:50.298165       1 flags.go:57] FLAG: --ap-ml-gpus-hyperparam-d="0.5"
I0712 15:30:50.298172       1 flags.go:57] FLAG: --ap-ml-gpus-hyperparam-wdeltal="0.5"
I0712 15:30:50.298186       1 flags.go:57] FLAG: --ap-ml-gpus-hyperparam-wdeltam="0.5"
I0712 15:30:50.298193       1 flags.go:57] FLAG: --ap-ml-gpus-hyperparam-wo="0.5"
I0712 15:30:50.298199       1 flags.go:57] FLAG: --ap-ml-gpus-hyperparam-wu="0.5"
I0712 15:30:50.298257       1 flags.go:57] FLAG: --ap-ml-gpus-num-dm="100"
I0712 15:30:50.298265       1 flags.go:57] FLAG: --ap-ml-gpus-num-mm="3"
I0712 15:30:50.298271       1 flags.go:57] FLAG: --ap-ml-memory-hyperparam-d="0.5"
I0712 15:30:50.298278       1 flags.go:57] FLAG: --ap-ml-memory-hyperparam-wdeltal="0.5"
